query_id,rank,chunk_id,score
none-004,1,chunk_ae41ebf557a408878b4f4aee6c3c8dfeb61a4811e044c15d03f17777a569d392,5.779783248901367
none-004,2,chunk_42d89c312f6f0425bfca59c0bdd4c1d0419bd292ec64eb0f60a65b48749fadf2,5.286033630371094
none-004,3,chunk_78886397f59ef79dd4a85a71f57683ddc4c907a832f1438b7287c0e031df6b85,4.86038875579834
none-004,4,chunk_1459d432a9dcd666a747bfeab099229f2a0eaf636da74decbfd90219a4270784,4.818216323852539
none-004,5,chunk_5d683c58bd3d239875dcd923bc4d56da41f2f62c747dd7db3bb3904b2add5321,4.818216323852539
none-002,1,chunk_0d4fee64e6ff22e578bd0f3a85c5720d7706d6d7932f026420b5bfaa0537848c,5.303617000579834
none-002,2,chunk_284de21f7d77d8c8309015e47ce60a59e802fd3fc5c73134dda34d33aa52ef3c,4.580766677856445
none-002,3,chunk_eafc403763c151370b24fd17c1ec26cd8de454de814e85ef1f31115e47eff496,4.4536542892456055
none-002,4,chunk_150817906fe78911c7ea740a4ce7235cfdb734ab93c40ba28a7fdd044896812e,4.239832878112793
none-002,5,chunk_237f8a2845b20a44962cbb48ff28b67776863176f3f63961bdc658b37ebbe721,3.8603529930114746
none-003,1,chunk_5f709d06b4d77b45e2845c99d5e7a4508cfbb01ffd991c7253464c68d4330bf8,6.196263313293457
none-003,2,chunk_ae41ebf557a408878b4f4aee6c3c8dfeb61a4811e044c15d03f17777a569d392,4.118690013885498
none-003,3,chunk_076e7c45fd831609bdd04e323d4a5ec90ad97af3aacfc212aa595ac641e24bdd,3.8774642944335938
none-003,4,chunk_c3dfb8e061579d68eefd0e2e93810a39864ddcc4acfea2520d4466ef7c154c2c,3.8549201488494873
none-003,5,chunk_22b9f554f438c810f9791621d3b2fae92f3909745a8ba4385adf3cbd81942985,3.201066493988037
none-005,1,chunk_091cbb3fae627f0760e9165cd17699f931207cc3e4213277f10be10f46a47c98,6.4792256355285645
none-005,2,chunk_ff78edf77c3598c25fdcd69992500a18af5cad672ead2e4b28cc556fee6ba258,5.987648010253906
none-005,3,chunk_2645509c670ceec3ab59240cbb2ed2787ce8d1df5e231505dcbfcc1786e241f2,5.682246208190918
none-005,4,chunk_5d22b00eb80ca3acf11eb80186ee1ad9a85383947626b8c9f9455a298991a0c4,5.168588638305664
none-005,5,chunk_7b7233f2c7ade5ec1ca687b4f53af3abbf331b01da76e09a99b7f5054a61ddc4,4.850799560546875
none-001,1,chunk_f83528495cb1c0fcf5cbbd19bde93b730cc242ddbb490696f5d30f35f8bcf4cc,7.363292694091797
none-001,2,chunk_1d053eec0678c682b4a5cd070add26b1f31e7b44a267b855212a98e4897da24f,5.920431137084961
none-001,3,chunk_dfa555ede83fa3bce32ee552bec087cbe614285482f5419d39b727dca511e8a0,5.488847732543945
none-001,4,chunk_8bd0feb69d61e67ea44c7be5bb06721bf9fce6223dc3c58789be30c5a7eac948,5.415045738220215
none-001,5,chunk_78886397f59ef79dd4a85a71f57683ddc4c907a832f1438b7287c0e031df6b85,5.1763410568237305
