query_id,repetition,elapsed_ms,rss_bytes
none-004,0,0.4196,187142144
none-002,0,0.4552,187142144
none-003,0,0.3992,187142144
none-005,0,0.4079,187146240
none-001,0,0.3899,187146240
none-002,1,0.4426,187146240
none-005,1,0.4509,187146240
none-004,1,0.3976,187146240
none-003,1,0.3969,187146240
none-001,1,0.4265,187146240
none-003,2,0.4154,187146240
none-002,2,0.3851,187146240
none-005,2,0.3664,187146240
none-001,2,0.3765,187146240
none-004,2,0.413,187146240
none-001,3,0.3895,187146240
none-005,3,0.3667,187146240
none-002,3,0.3788,187146240
none-004,3,0.4359,187146240
none-003,3,0.4276,187146240
none-002,4,0.3811,187146240
none-003,4,0.3773,187146240
none-005,4,0.3735,187146240
none-004,4,0.4195,187146240
none-001,4,0.4142,187146240
none-004,5,0.3847,187146240
none-005,5,0.3691,187146240
none-002,5,0.3885,187146240
none-001,5,0.4434,187146240
none-003,5,0.3893,187146240
none-004,6,0.3856,187146240
none-002,6,0.3829,187146240
none-001,6,0.4062,187146240
none-003,6,0.4213,187146240
none-005,6,0.3756,187146240
none-004,7,0.386,187146240
none-005,7,0.3654,187146240
none-002,7,0.4233,187146240
none-003,7,0.4131,187146240
none-001,7,0.3788,187146240
none-005,8,0.3637,187146240
none-001,8,0.4419,187146240
none-002,8,0.7429,187146240
none-003,8,0.689,187146240
none-004,8,0.5889,187146240
none-004,9,0.48,187146240
none-003,9,0.4836,187146240
none-001,9,0.4215,187146240
none-005,9,0.4366,187146240
none-002,9,0.4306,187146240
