query_id,repetition,elapsed_ms,rss_bytes
none-004,0,8.4822,743452672
none-002,0,7.8813,743452672
none-003,0,9.399,743452672
none-005,0,9.6075,743452672
none-001,0,10.8652,743452672
none-002,1,8.8232,743452672
none-005,1,7.9417,743452672
none-004,1,9.6855,743452672
none-003,1,9.8979,743452672
none-001,1,11.6147,743452672
none-003,2,10.1337,743452672
none-002,2,9.7999,743452672
none-005,2,7.8357,743452672
none-001,2,9.1345,743452672
none-004,2,7.7899,743452672
none-001,3,9.2917,743452672
none-005,3,7.7681,743452672
none-002,3,7.8913,743452672
none-004,3,7.7431,743452672
none-003,3,8.257,743452672
none-002,4,7.683,743452672
none-003,4,7.7337,743452672
none-005,4,8.9525,743452672
none-004,4,7.7817,743452672
none-001,4,9.6137,743452672
none-004,5,9.4443,743452672
none-005,5,9.5827,743452672
none-002,5,7.901,743452672
none-001,5,9.3157,743452672
none-003,5,7.5913,743452672
none-004,6,7.5502,743452672
none-002,6,7.4328,743452672
none-001,6,10.8334,743452672
none-003,6,9.1041,743452672
none-005,6,9.56,743452672
none-004,7,9.58,743452672
none-005,7,9.193,743452672
none-002,7,9.724,743452672
none-003,7,9.2602,743452672
none-001,7,9.6888,743452672
none-005,8,8.2459,743452672
none-001,8,9.3053,743452672
none-002,8,9.5014,743452672
none-003,8,9.873,743452672
none-004,8,9.5387,743452672
none-004,9,9.51,743452672
none-003,9,9.1867,743452672
none-001,9,11.444,743452672
none-005,9,10.1351,743452672
none-002,9,9.5404,743452672
