query_id,rank,chunk_id,score
none-004,1,chunk_ae41ebf557a408878b4f4aee6c3c8dfeb61a4811e044c15d03f17777a569d392,0.1095879077911377
none-004,2,chunk_78886397f59ef79dd4a85a71f57683ddc4c907a832f1438b7287c0e031df6b85,0.09376631677150726
none-004,3,chunk_42d89c312f6f0425bfca59c0bdd4c1d0419bd292ec64eb0f60a65b48749fadf2,0.08752404153347015
none-004,4,chunk_090e0f8c99cb47dbbb6c2a3852e99e97b703c846516d9b23e992f5d5abb849fd,0.08346060663461685
none-004,5,chunk_9069f00a06eb563286e0cf8dabefa69cff2e5a8573fde7116aacd4bca30f0745,0.07717527449131012
none-002,1,chunk_0d4fee64e6ff22e578bd0f3a85c5720d7706d6d7932f026420b5bfaa0537848c,0.15238167345523834
none-002,2,chunk_284de21f7d77d8c8309015e47ce60a59e802fd3fc5c73134dda34d33aa52ef3c,0.13013866543769836
none-002,3,chunk_150817906fe78911c7ea740a4ce7235cfdb734ab93c40ba28a7fdd044896812e,0.09815660864114761
none-002,4,chunk_c5ad805dc6bf4aab0f7239b43b48ce0df9fd5dffa5801babe0a00f07a1472cc4,0.09184664487838745
none-002,5,chunk_237f8a2845b20a44962cbb48ff28b67776863176f3f63961bdc658b37ebbe721,0.08472418785095215
none-003,1,chunk_5f709d06b4d77b45e2845c99d5e7a4508cfbb01ffd991c7253464c68d4330bf8,0.2474304735660553
none-003,2,chunk_66b464583602b53b28bd66b250bc0547341c467fa10ecaa669cfacbe1c697777,0.12704209983348846
none-003,3,chunk_ae41ebf557a408878b4f4aee6c3c8dfeb61a4811e044c15d03f17777a569d392,0.12230749428272247
none-003,4,chunk_c3dfb8e061579d68eefd0e2e93810a39864ddcc4acfea2520d4466ef7c154c2c,0.09564682841300964
none-003,5,chunk_2645509c670ceec3ab59240cbb2ed2787ce8d1df5e231505dcbfcc1786e241f2,0.0950436070561409
none-005,1,chunk_091cbb3fae627f0760e9165cd17699f931207cc3e4213277f10be10f46a47c98,0.13802792131900787
none-005,2,chunk_ff78edf77c3598c25fdcd69992500a18af5cad672ead2e4b28cc556fee6ba258,0.1013367623090744
none-005,3,chunk_7b7233f2c7ade5ec1ca687b4f53af3abbf331b01da76e09a99b7f5054a61ddc4,0.09999606758356094
none-005,4,chunk_5d22b00eb80ca3acf11eb80186ee1ad9a85383947626b8c9f9455a298991a0c4,0.09615832567214966
none-005,5,chunk_2645509c670ceec3ab59240cbb2ed2787ce8d1df5e231505dcbfcc1786e241f2,0.09614554047584534
none-001,1,chunk_f83528495cb1c0fcf5cbbd19bde93b730cc242ddbb490696f5d30f35f8bcf4cc,0.1371798813343048
none-001,2,chunk_1d053eec0678c682b4a5cd070add26b1f31e7b44a267b855212a98e4897da24f,0.136642724275589
none-001,3,chunk_dfa555ede83fa3bce32ee552bec087cbe614285482f5419d39b727dca511e8a0,0.12184533476829529
none-001,4,chunk_78886397f59ef79dd4a85a71f57683ddc4c907a832f1438b7287c0e031df6b85,0.10388584434986115
none-001,5,chunk_5f709d06b4d77b45e2845c99d5e7a4508cfbb01ffd991c7253464c68d4330bf8,0.10271644592285156
