query_id,repetition,elapsed_ms,rss_bytes
none-004,0,0.7942,186884096
none-002,0,0.7281,186884096
none-003,0,0.7716,186884096
none-005,0,0.7165,186888192
none-001,0,0.718,186888192
none-002,1,0.7415,186888192
none-005,1,0.712,186888192
none-004,1,0.8774,186888192
none-003,1,0.724,186888192
none-001,1,0.6999,186888192
none-003,2,0.7316,186888192
none-002,2,0.7268,186888192
none-005,2,0.7597,186888192
none-001,2,0.7009,186888192
none-004,2,0.7033,186888192
none-001,3,0.8047,186888192
none-005,3,0.6823,186888192
none-002,3,0.7749,186888192
none-004,3,0.7122,186888192
none-003,3,0.6888,186888192
none-002,4,0.7775,186888192
none-003,4,0.7081,186888192
none-005,4,0.7249,186888192
none-004,4,0.7425,186888192
none-001,4,0.7147,186888192
none-004,5,0.8355,186888192
none-005,5,1.2379,186888192
none-002,5,1.0466,186888192
none-001,5,0.7879,186888192
none-003,5,0.7103,186888192
none-004,6,0.7606,186888192
none-002,6,0.7362,186888192
none-001,6,0.7705,186888192
none-003,6,0.7226,186888192
none-005,6,0.6956,186888192
none-004,7,0.7427,186888192
none-005,7,0.7392,186888192
none-002,7,0.6926,186888192
none-003,7,0.7196,186888192
none-001,7,0.7133,186888192
none-005,8,0.6891,186888192
none-001,8,0.7261,186888192
none-002,8,0.6969,186888192
none-003,8,0.7088,186888192
none-004,8,0.7509,186888192
none-004,9,0.6866,186888192
none-003,9,0.7344,186888192
none-001,9,0.7048,186888192
none-005,9,0.6877,186888192
none-002,9,0.7186,186888192
