document_id,collection_version,file_name,relative_path,sha256,title,author,source_url,download_url,license_or_permission,license_url,license_evidence_url,redistribution_allowed,language,topic,format,retrieved_on,file_size_bytes,source_sha256,transformation,validation_status,notes,source_relative_path
doc_509202dfeb5631832e30cad1bcda4016eb8bd3c04e47d3ab8dfe461935de5c6e,ml-basics-v1,01_mit_introduction_classification.pdf,data\raw\01_mit_introduction_classification.pdf,509202dfeb5631832e30cad1bcda4016eb8bd3c04e47d3ab8dfe461935de5c6e,"Lecture 1: Introduction, linear classification, perceptron update rule",Tommi Jaakkola / MIT OpenCourseWare,https://ocw.mit.edu/courses/6-867-machine-learning-fall-2006/resources/lec1/,https://ocw.mit.edu/courses/6-867-machine-learning-fall-2006/d26f49e758fa83b40c8f22496c857f14_lec1.pdf,CC-BY-NC-SA-4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://ocw.mit.edu/courses/6-867-machine-learning-fall-2006/resources/lec1/,Only under the stated source license.,en,introduction;classification;perceptron,pdf,2026-09-16,111566,509202dfeb5631832e30cad1bcda4016eb8bd3c04e47d3ab8dfe461935de5c6e,Unmodified original PDF; filename changed only.,pypdf 6.18.0 extraction verified; xref and glyph warnings preserved in artifacts/preparation/ingestion_report.json.,Curated corpus; evaluation queries and judgments are maintained separately.,data\raw\01_mit_introduction_classification.pdf
doc_d6d0fd3cb7407d17e5b91ede5b45a0bf9264ba1f23ea36765d2b299b303ef5e9,ml-basics-v1,02_mit_regularization_logistic_regression.pdf,data\raw\02_mit_regularization_logistic_regression.pdf,d6d0fd3cb7407d17e5b91ede5b45a0bf9264ba1f23ea36765d2b299b303ef5e9,"Lecture 4: Classification errors, regularization, logistic regression",Tommi Jaakkola / MIT OpenCourseWare,https://ocw.mit.edu/courses/6-867-machine-learning-fall-2006/resources/lec4/,https://ocw.mit.edu/courses/6-867-machine-learning-fall-2006/59a63d2efbe8aa01041937ff539a449a_lec4.pdf,CC-BY-NC-SA-4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://ocw.mit.edu/courses/6-867-machine-learning-fall-2006/resources/lec4/,Only under the stated source license.,en,classification;regularization;logistic_regression,pdf,2026-09-16,170261,d6d0fd3cb7407d17e5b91ede5b45a0bf9264ba1f23ea36765d2b299b303ef5e9,Unmodified original PDF; filename changed only.,pypdf 6.18.0 extraction verified; xref and glyph warnings preserved in artifacts/preparation/ingestion_report.json.,Curated corpus; evaluation queries and judgments are maintained separately.,data\raw\02_mit_regularization_logistic_regression.pdf
doc_b21a5bb81e302cb85ad2c41160394faa8c01a4d3bebce42e21ecde29c87ae1cf,ml-basics-v1,03_mit_linear_regression_bias_variance.pdf,data\raw\03_mit_linear_regression_bias_variance.pdf,b21a5bb81e302cb85ad2c41160394faa8c01a4d3bebce42e21ecde29c87ae1cf,"Lecture 5: Linear regression, estimator bias and variance, active learning",Tommi Jaakkola / MIT OpenCourseWare,https://ocw.mit.edu/courses/6-867-machine-learning-fall-2006/resources/lec5/,https://ocw.mit.edu/courses/6-867-machine-learning-fall-2006/9e7f8fb89d65d7572980907fd6d12315_lec5.pdf,CC-BY-NC-SA-4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://ocw.mit.edu/courses/6-867-machine-learning-fall-2006/resources/lec5/,Only under the stated source license.,en,linear_regression;bias;variance;active_learning,pdf,2026-09-16,218778,b21a5bb81e302cb85ad2c41160394faa8c01a4d3bebce42e21ecde29c87ae1cf,Unmodified original PDF; filename changed only.,pypdf 6.18.0 extraction verified; xref and glyph warnings preserved in artifacts/preparation/ingestion_report.json.,Curated corpus; evaluation queries and judgments are maintained separately.,data\raw\03_mit_linear_regression_bias_variance.pdf
doc_24d74b3ac0385e392099d04eead2e65749d851ffd92dfdaa951eab8ca15e7f8c,ml-basics-v1,04_google_training_validation_test.txt,data\raw\04_google_training_validation_test.txt,24d74b3ac0385e392099d04eead2e65749d851ffd92dfdaa951eab8ca15e7f8c,Datasets: Dividing the original dataset,Google for Developers / Machine Learning Crash Course,https://developers.google.com/machine-learning/crash-course/overfitting/dividing-datasets,https://developers.google.com/machine-learning/crash-course/overfitting/dividing-datasets,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://developers.google.com/machine-learning/crash-course/overfitting/dividing-datasets,Only under the stated source license.,en,training_validation_test;data_leakage;generalization,txt,2026-09-16,4147,3600aa39c2bce05e9c15f1027ef4b6968adc455542642c0da7d5f2e8443cfab1,"HTML article converted to UTF-8 TXT; navigation, quiz blocks, exercise headings, figures, captions, code blocks and generated key takeaways omitted; attribution header added.",UTF-8 text checked; 5 quiz blocks omitted.,Curated corpus; evaluation queries and judgments are maintained separately.,data\sources\google_dividing_datasets.html
doc_130ef0f1a7c108fd07ccea843618202f129e2373fffca9c1ab0be0646db99e34,ml-basics-v1,05_google_linear_loss.txt,data\full_corpus\raw\05_google_linear_loss.txt,130ef0f1a7c108fd07ccea843618202f129e2373fffca9c1ab0be0646db99e34,Linear regression: Loss,Google for Developers / Machine Learning Crash Course,https://developers.google.com/machine-learning/crash-course/linear-regression/loss,https://developers.google.com/machine-learning/crash-course/linear-regression/loss,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://developers.google.com/machine-learning/crash-course/linear-regression/loss,Only under the stated source license.,en,linear-regression;loss,txt,2026-09-17,6733,33b67df6545551f4b3772e7f979c357e4fce5797d20e5499466fe8e721b90690,"HTML lesson converted to UTF-8 TXT; navigation, multiple-choice quizzes, figures, captions, code blocks and generated key takeaways omitted; attribution header added.",UTF-8 article checked; 1 quiz blocks omitted; 1 HTML paragraph closures normalized.,Curated corpus; evaluation queries and judgments are maintained separately.,data\full_corpus\sources\05_google_linear_loss.html
doc_90b2f2c6e25a63f89cd9eded343fdcb8683b592237429f86c310b739f4fba6f3,ml-basics-v1,06_google_gradient_descent.txt,data\full_corpus\raw\06_google_gradient_descent.txt,90b2f2c6e25a63f89cd9eded343fdcb8683b592237429f86c310b739f4fba6f3,Linear regression: Gradient descent,Google for Developers / Machine Learning Crash Course,https://developers.google.com/machine-learning/crash-course/linear-regression/gradient-descent,https://developers.google.com/machine-learning/crash-course/linear-regression/gradient-descent,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://developers.google.com/machine-learning/crash-course/linear-regression/gradient-descent,Only under the stated source license.,en,linear-regression;gradient-descent,txt,2026-09-17,9473,a0d78c85cf5056a63147d89cebf8796a7a23af2bebc567e4f3b9387a13fe86e6,"HTML lesson converted to UTF-8 TXT; navigation, multiple-choice quizzes, figures, captions, code blocks and generated key takeaways omitted; attribution header added.",UTF-8 article checked; 1 quiz blocks omitted; 0 HTML paragraph closures normalized.,Curated corpus; evaluation queries and judgments are maintained separately.,data\full_corpus\sources\06_google_gradient_descent.html
doc_5e4b12bbda78092b44422fae191f58ebbe624cca6a39580615c2140f9d859833,ml-basics-v1,07_google_hyperparameters.txt,data\full_corpus\raw\07_google_hyperparameters.txt,5e4b12bbda78092b44422fae191f58ebbe624cca6a39580615c2140f9d859833,Linear regression: Hyperparameters,Google for Developers / Machine Learning Crash Course,https://developers.google.com/machine-learning/crash-course/linear-regression/hyperparameters,https://developers.google.com/machine-learning/crash-course/linear-regression/hyperparameters,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://developers.google.com/machine-learning/crash-course/linear-regression/hyperparameters,Only under the stated source license.,en,linear-regression;hyperparameters,txt,2026-09-17,7341,3c635b3bd17bdff897335416038553d28142af194895c71921a024fdb80af8ef,"HTML lesson converted to UTF-8 TXT; navigation, multiple-choice quizzes, figures, captions, code blocks and generated key takeaways omitted; attribution header added.",UTF-8 article checked; 3 quiz blocks omitted; 0 HTML paragraph closures normalized.,Curated corpus; evaluation queries and judgments are maintained separately.,data\full_corpus\sources\07_google_hyperparameters.html
doc_93e2c576bd5b680c3d169a80ca5ed314d86d502fff24995f232f14f7daaad67c,ml-basics-v1,08_google_sigmoid.txt,data\full_corpus\raw\08_google_sigmoid.txt,93e2c576bd5b680c3d169a80ca5ed314d86d502fff24995f232f14f7daaad67c,Logistic regression: Calculating a probability with the sigmoid function,Google for Developers / Machine Learning Crash Course,https://developers.google.com/machine-learning/crash-course/logistic-regression/sigmoid-function,https://developers.google.com/machine-learning/crash-course/logistic-regression/sigmoid-function,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://developers.google.com/machine-learning/crash-course/logistic-regression/sigmoid-function,Only under the stated source license.,en,logistic-regression;sigmoid-function,txt,2026-09-17,4770,fdb987b495c37817a1871bc39a25beb79394fc9096d5793456ee1fec34d0bf5e,"HTML lesson converted to UTF-8 TXT; navigation, multiple-choice quizzes, figures, captions, code blocks and generated key takeaways omitted; attribution header added.",UTF-8 article checked; 2 quiz blocks omitted; 0 HTML paragraph closures normalized.,Curated corpus; evaluation queries and judgments are maintained separately.,data\full_corpus\sources\08_google_sigmoid.html
doc_5aa61b0d285727db2edbaf4827a843b73c5e107f0e3e8346d41b5d91c872e8a8,ml-basics-v1,09_google_logistic_loss.txt,data\full_corpus\raw\09_google_logistic_loss.txt,5aa61b0d285727db2edbaf4827a843b73c5e107f0e3e8346d41b5d91c872e8a8,Logistic regression: Loss and regularization,Google for Developers / Machine Learning Crash Course,https://developers.google.com/machine-learning/crash-course/logistic-regression/loss-regularization,https://developers.google.com/machine-learning/crash-course/logistic-regression/loss-regularization,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://developers.google.com/machine-learning/crash-course/logistic-regression/loss-regularization,Only under the stated source license.,en,logistic-regression;loss-regularization,txt,2026-09-17,2304,8a4574a822e71f06d6e74ba3a8cb4cde309a5ed83d0538e01176a787156f1176,"HTML lesson converted to UTF-8 TXT; navigation, multiple-choice quizzes, figures, captions, code blocks and generated key takeaways omitted; attribution header added.",UTF-8 article checked; 0 quiz blocks omitted; 0 HTML paragraph closures normalized.,Curated corpus; evaluation queries and judgments are maintained separately.,data\full_corpus\sources\09_google_logistic_loss.html
doc_3bf90e3eda843ea012a378994766799bc85d972b042e785b45eb73261a836f92,ml-basics-v1,10_google_thresholds.txt,data\full_corpus\raw\10_google_thresholds.txt,3bf90e3eda843ea012a378994766799bc85d972b042e785b45eb73261a836f92,Thresholds and the confusion matrix,Google for Developers / Machine Learning Crash Course,https://developers.google.com/machine-learning/crash-course/classification/thresholding,https://developers.google.com/machine-learning/crash-course/classification/thresholding,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://developers.google.com/machine-learning/crash-course/classification/thresholding,Only under the stated source license.,en,classification;thresholding,txt,2026-09-17,4982,a909b20fdc6e227552321b90e9ece2fae790c5a291bcfa2330032edb27da986d,"HTML lesson converted to UTF-8 TXT; navigation, multiple-choice quizzes, figures, captions, code blocks and generated key takeaways omitted; attribution header added.",UTF-8 article checked; 3 quiz blocks omitted; 0 HTML paragraph closures normalized.,Curated corpus; evaluation queries and judgments are maintained separately.,data\full_corpus\sources\10_google_thresholds.html
